tool,ind_sub,group_name,subgroup,es.mean,es.lower,es.upper,pval,I2,p_subgroup,n_study,n_obs,p.star,design
POMS,Anger,duration_group,>45,-0.5824173043966672,-0.8085459654859615,-0.35628864330737287,7.4931e-5,0.65,0.0266872072,15,NA,***,exp
POMS,Anger,duration_group,<= 15,-0.7817924928276495,-0.9784020811901573,-0.5851829044651418,0,0.86,0.0266872072,67,NA,***,exp
POMS,Anger,duration_group,16-45,-0.3794931142677565,-0.6145085419245352,-0.1444776866109778,0.0029767979,0.73,0.0266872072,22,NA,**,exp
POMS,Anxiety,duration_group,>45,-0.7158681538495089,-1.005221225531239,-0.42651508216777884,9.36933e-5,0.74,0.145132011,16,NA,***,exp
POMS,Anxiety,duration_group,<= 15,-0.7900047042705921,-0.951762528897247,-0.6282468796439372,0,0.86,0.145132011,68,NA,***,exp
POMS,Anxiety,duration_group,16-45,-1.228573601417862,-1.7063957360231412,-0.750751466812583,2.65341e-5,0.91,0.145132011,22,NA,***,exp
POMS,Confusion,duration_group,>45,-0.665403201422776,-0.9600525333390113,-0.37075386950654066,3.535731e-4,0.82,0.3155187912,13,NA,***,exp
POMS,Confusion,duration_group,<= 15,-0.8849388182970678,-1.0888729929884933,-0.6810046436056423,0,0.9,0.3155187912,67,NA,***,exp
POMS,Confusion,duration_group,16-45,-0.9563324756771183,-1.314562019396413,-0.5981029319578236,1.6493e-5,0.87,0.3155187912,22,NA,***,exp
POMS,Depression,duration_group,>45,-0.4887321284198447,-0.7058767085239852,-0.27158754831570414,2.684357e-4,0.61,0.0216284352,15,NA,***,exp
POMS,Depression,duration_group,<= 15,-0.5097939181138572,-0.663415502481115,-0.3561723337465994,7.5e-9,0.83,0.0216284352,67,NA,***,exp
POMS,Depression,duration_group,16-45,-0.9409824922862154,-1.2456355898439504,-0.6363293947284805,2.291e-6,0.84,0.0216284352,22,NA,***,exp
POMS,Fatigue,duration_group,>45,-0.4800935564526647,-0.7424813369818584,-0.21770577592347112,0.0013319264,0.83,0.0533093402,17,NA,**,exp
POMS,Fatigue,duration_group,<= 15,-0.7637740904272836,-0.9133030677427574,-0.6142451131118098,0,0.83,0.0533093402,67,NA,***,exp
POMS,Fatigue,duration_group,16-45,-0.9005924098374751,-1.1822427517664345,-0.6189420679085157,1.3928e-6,0.81,0.0533093402,22,NA,***,exp
POMS,TMD,duration_group,16-45,-0.9677048642704003,-1.5524831218861181,-0.38292660665468226,0.0100723652,0.8,0.4956297177,5,NA,*,exp
POMS,TMD,duration_group,<= 15,-0.7214657414237604,-0.9327960816890956,-0.5101354011584253,3.24e-8,0.88,0.4956297177,39,NA,***,exp
POMS,TMD,duration_group,>45,-0.6636117823430845,-1.0434086792477686,-0.28381488543840044,0.0033414,0.72,0.4956297177,12,NA,**,exp
POMS,Vigor,duration_group,>45,0.6529581817898056,0.279253404481887,1.026662959097724,0.0019259516,0.85,0.0034115657,17,NA,**,exp
POMS,Vigor,duration_group,<= 15,1.6502645271676015,1.1069844942962372,2.1935445600389656,7.74e-8,0.95,0.0034115657,65,NA,***,exp
POMS,Vigor,duration_group,16-45,1.4132074569801962,0.7806511756292858,2.0457637383311065,1.387744e-4,0.94,0.0034115657,22,NA,***,exp
POMS,Anger,exposure_o2,L4 - physical activity in nature,-0.47660936500803364,-0.6103003255049726,-0.3429184045110947,1.9e-9,0.75,0,59,NA,***,exp
POMS,Anger,exposure_o2,L4 - stay static in nature,-0.5615167114982931,-0.7347032654714948,-0.38833015752509137,1.686e-7,0.7,0,35,NA,***,exp
POMS,Anger,exposure_o2,L4 - stay static in nature; l4 - physical activity in nature,-2.3796779764470064,-2.6765732723094926,-2.08278268058452,7.57e-8,0,0,9,NA,***,exp
POMS,Anger,exposure_o2,L3 - view of nature from window,-0.5434866810344835,-1.0353496207781445,-0.05162374129082259,0.0303361786,NA,0,1,NA,*,exp
POMS,Anxiety,exposure_o2,L4 - physical activity in nature,-0.6781809884209934,-0.8525484355783622,-0.5038135412636245,1e-10,0.85,0.0072230947,60,NA,***,exp
POMS,Anxiety,exposure_o2,L4 - stay static in nature,-1.0275235408361716,-1.2713530175713166,-0.7836940641010266,4e-10,0.84,0.0072230947,36,NA,***,exp
POMS,Anxiety,exposure_o2,L4 - stay static in nature; l4 - physical activity in nature,-1.6997643187774658,-2.555355713945006,-0.844172923609926,0.0017991004,0.88,0.0072230947,9,NA,**,exp
POMS,Anxiety,exposure_o2,L3 - view of nature from window,-0.5946802593597997,-1.0883672986620772,-0.10099322005752237,0.0182300325,NA,0.0072230947,1,NA,*,exp
POMS,Confusion,exposure_o2,L4 - physical activity in nature,-0.6304753060191729,-0.7916595135080529,-0.46929109853029294,1e-10,0.83,0,57,NA,***,exp
POMS,Confusion,exposure_o2,L4 - stay static in nature,-0.916775131138231,-1.1660002620899914,-0.6675500001864705,1.13e-8,0.89,0,35,NA,***,exp
POMS,Confusion,exposure_o2,L4 - stay static in nature; l4 - physical activity in nature,-2.3262707056847827,-2.692814552505959,-1.959726858863606,4.664e-7,0.21,0,9,NA,***,exp
POMS,Confusion,exposure_o2,L3 - view of nature from window,-0.7508435420331512,-1.2510533912220572,-0.2506336928442451,0.0032608114,NA,0,1,NA,**,exp
